Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgCH,AvgCD,AvgCA
11/08/2023,Burnley,Man City,0,3,9.27,5.45,1.33
12/08/2023,Arsenal,Nott'm Forest,2,1,1.19,7.43,15.98
12/08/2023,Bournemouth,West Ham,1,1,2.7,3.53,2.59
12/08/2023,Brighton,Luton,4,1,1.28,5.99,10.91
12/08/2023,Everton,Fulham,0,1,2.32,3.28,3.27
12/08/2023,Sheffield United,Crystal Palace,0,1,3.81,3.16,2.16
12/08/2023,Newcastle,Aston Villa,5,1,1.65,4.14,5.17
13/08/2023,Brentford,Tottenham,2,2,2.6,3.52,2.7
13/08/2023,Chelsea,Liverpool,1,1,3.04,3.75,2.26
14/08/2023,Man United,Wolves,1,0,1.27,6.12,10.96
18/08/2023,Nott'm Forest,Sheffield United,2,1,1.93,3.44,4.33
19/08/2023,Fulham,Brentford,0,3,2.82,3.19,2.69
19/08/2023,Liverpool,Bournemouth,3,1,1.2,7.69,12.7
19/08/2023,Wolves,Brighton,1,4,4.17,4.06,1.81
19/08/2023,Tottenham,Man United,2,0,3.01,3.78,2.25
19/08/2023,Man City,Newcastle,1,0,1.84,3.78,4.32
20/08/2023,Aston Villa,Everton,4,0,1.84,3.82,4.24
20/08/2023,West Ham,Chelsea,3,1,3.27,3.59,2.18
21/08/2023,Crystal Palace,Arsenal,0,1,4.42,3.55,1.89
25/08/2023,Chelsea,Luton,3,0,1.26,6.12,12.06
26/08/2023,Bournemouth,Tottenham,0,2,3.47,3.86,2.03
26/08/2023,Arsenal,Fulham,2,2,1.27,5.98,10.95
26/08/2023,Brentford,Crystal Palace,1,1,2.15,3.33,3.67
26/08/2023,Everton,Wolves,0,1,2.43,3.36,3.02
26/08/2023,Man United,Nott'm Forest,3,2,1.36,5.26,8.13
26/08/2023,Brighton,West Ham,1,3,1.51,4.78,5.91
27/08/2023,Burnley,Aston Villa,1,3,3.21,3.54,2.24
27/08/2023,Sheffield United,Man City,1,2,14.68,6.99,1.2
27/08/2023,Newcastle,Liverpool,1,2,2.22,3.84,3.02
01/09/2023,Luton,West Ham,1,2,4.67,4.02,1.73
02/09/2023,Sheffield United,Everton,2,2,3.12,3.36,2.35
02/09/2023,Brentford,Bournemouth,2,2,1.73,3.98,4.75
02/09/2023,Burnley,Tottenham,2,5,3.64,3.79,1.99
02/09/2023,Chelsea,Nott'm Forest,0,1,1.4,4.84,8.03
02/09/2023,Man City,Fulham,5,1,1.18,7.68,15.7
02/09/2023,Brighton,Newcastle,3,1,2.55,3.81,2.58
03/09/2023,Crystal Palace,Wolves,3,2,1.9,3.54,4.32
03/09/2023,Liverpool,Aston Villa,3,0,1.61,4.62,4.94
03/09/2023,Arsenal,Man United,3,1,1.77,4.14,4.29
16/09/2023,Wolves,Liverpool,1,3,4.77,4.35,1.67
16/09/2023,Aston Villa,Crystal Palace,3,1,1.94,3.64,4.01
16/09/2023,Fulham,Luton,1,0,1.66,3.79,5.67
16/09/2023,Man United,Brighton,1,3,2.0,3.99,3.44
