Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,PtsPerMP,Last5,Attendance,TopScorer,Goalkeeper,Notes
1,Brighton,1,1,0,0,4,0,4,3,3.00,W,31746,Jack Hinshelwood - 2,Bart Verbruggen,
2,Arsenal,1,1,0,0,3,0,3,3,3.00,W,60098,Martin Odegaard/Kai Havertz - 1,David Raya,
3,Brentford,1,1,0,0,3,0,3,3,3.00,W,17180,Vitaly Janelt/Keane Lewis-Potter - 1,Caoimhin Kelleher,
4,Everton,1,1,0,0,2,0,2,3,3.00,W,51820,Kiernan Dewsbury-Hall/Thierno Barry - 1,Jordan Pickford,
5,Hull City,1,1,0,0,2,0,2,3,3.00,W,24470,Semi Ajayi/Nobel Mendy - 1,Kostas Tzolakis,
6,Chelsea,1,1,0,0,3,2,1,3,3.00,W,,Morgan Rogers/Joao Pedro - 1,Robert Sanchez,
7,Ipswich Town,1,1,0,0,2,1,1,3,3.00,W,29669,Jack Clarke/Emersonn - 1,Kjell Scherpen,
8,Manchester City,1,1,0,0,2,1,1,3,3.00,W,60645,Marc Guehi/Josko Gvardiol - 1,Gianluigi Donnarumma,
9,Leeds United,1,1,0,0,1,0,1,3,3.00,W,,Anton Stach - 1,James Trafford,
10,Liverpool,1,0,1,0,2,2,0,1,1.00,D,,Cody Gakpo/Dominik Szoboszlai - 1,Alisson,
11,Newcastle,1,0,1,0,2,2,0,1,1.00,D,52630,Joe Willock/Anthony Elanga - 1,Lukas Hornicek,
12,Fulham,1,0,0,1,2,3,-1,0,0.00,L,27461,Gonzalo Garcia/Joshua King - 1,Bernd Leno,
13,Bournemouth,1,0,0,1,1,2,-1,0,0.00,L,,Marcus Tavernier - 1,Djordje Petrovic,
14,Sunderland,1,0,0,1,1,2,-1,0,0.00,L,,Nilson Angulo - 1,Robin Roefs,
15,Nottingham,1,0,0,1,0,1,-1,0,0.00,L,30739,,Matz Sels,
16,Crystal Palace,1,0,0,1,0,2,-2,0,0.00,L,,,Dean Henderson,
17,Manchester Utd,1,0,0,1,0,2,-2,0,0.00,L,,,Senne Lammens,
18,Coventry City,1,0,0,1,0,3,-3,0,0.00,L,,,Carl Rushworth,
19,Tottenham,1,0,0,1,0,3,-3,0,0.00,L,,,Antonin Kinsky,
20,Aston Villa,1,0,0,1,0,4,-4,0,0.00,L,,,Marco Bizot,
